match-baseline preparation tick 0 team0=5/100 supply=9/30 team1=5/100 supply=9/30 team2=5/100 supply=9/30 team3=5/100 supply=9/30
match-latency slow_step tick=2861 phase=preparation update_wall_ms=24.033 monotonic_ms=2428.516 wall_epoch_ms=1789391797752.736 profile_collected=1 profile_tick=2861 setup_ms=0.000 production_ms=0.013 movement_economy_ms=23.987 vision_ms=0.032 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=24.032
match-latency slow_step tick=2961 phase=preparation update_wall_ms=27.009 monotonic_ms=2551.414 wall_epoch_ms=1789391797875.635 profile_collected=1 profile_tick=2961 setup_ms=0.000 production_ms=0.013 movement_economy_ms=26.951 vision_ms=0.043 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=27.008
match-latency slow_step tick=2994 phase=preparation update_wall_ms=33.498 monotonic_ms=2608.973 wall_epoch_ms=1789391797933.193 profile_collected=1 profile_tick=2994 setup_ms=0.001 production_ms=0.013 movement_economy_ms=33.441 vision_ms=0.043 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=33.498
match-latency slow_step tick=3002 phase=preparation update_wall_ms=51.579 monotonic_ms=2683.240 wall_epoch_ms=1789391798007.461 profile_collected=1 profile_tick=3002 setup_ms=0.000 production_ms=0.014 movement_economy_ms=51.520 vision_ms=0.044 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=51.578
match-latency slow_step tick=3062 phase=preparation update_wall_ms=44.506 monotonic_ms=2824.794 wall_epoch_ms=1789391798149.014 profile_collected=1 profile_tick=3062 setup_ms=0.000 production_ms=0.012 movement_economy_ms=44.450 vision_ms=0.042 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=44.506
match-latency slow_step tick=3162 phase=preparation update_wall_ms=45.352 monotonic_ms=3019.086 wall_epoch_ms=1789391798343.306 profile_collected=1 profile_tick=3162 setup_ms=0.000 production_ms=0.012 movement_economy_ms=45.297 vision_ms=0.042 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=45.352
match-latency slow_step tick=3168 phase=preparation update_wall_ms=21.944 monotonic_ms=3066.624 wall_epoch_ms=1789391798390.845 profile_collected=1 profile_tick=3168 setup_ms=0.000 production_ms=0.011 movement_economy_ms=21.885 vision_ms=0.046 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=21.944
match-latency slow_step tick=3181 phase=preparation update_wall_ms=25.074 monotonic_ms=3127.465 wall_epoch_ms=1789391798451.685 profile_collected=1 profile_tick=3181 setup_ms=0.001 production_ms=0.016 movement_economy_ms=25.010 vision_ms=0.046 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=25.074
match-latency slow_step tick=3182 phase=preparation update_wall_ms=20.079 monotonic_ms=3152.781 wall_epoch_ms=1789391798477.001 profile_collected=1 profile_tick=3182 setup_ms=0.000 production_ms=0.014 movement_economy_ms=20.021 vision_ms=0.042 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=20.079
match-latency slow_step tick=3253 phase=preparation update_wall_ms=27.572 monotonic_ms=3274.216 wall_epoch_ms=1789391798598.439 profile_collected=1 profile_tick=3253 setup_ms=0.000 production_ms=0.013 movement_economy_ms=27.511 vision_ms=0.047 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=27.572
match-latency slow_step tick=3362 phase=preparation update_wall_ms=21.102 monotonic_ms=3502.191 wall_epoch_ms=1789391798826.411 profile_collected=1 profile_tick=3362 setup_ms=0.000 production_ms=0.012 movement_economy_ms=21.034 vision_ms=0.051 combat_ms=0.001 ai_ms=0.000 completion_ms=0.003 profile_total_ms=21.101
match-latency slow_step tick=3425 phase=preparation update_wall_ms=30.907 monotonic_ms=3610.120 wall_epoch_ms=1789391798934.341 profile_collected=1 profile_tick=3425 setup_ms=0.000 production_ms=0.011 movement_economy_ms=30.845 vision_ms=0.050 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 profile_total_ms=30.906
match-latency slow_step tick=3462 phase=preparation update_wall_ms=51.162 monotonic_ms=3710.306 wall_epoch_ms=1789391799034.530 profile_collected=1 profile_tick=3462 setup_ms=0.000 production_ms=0.013 movement_economy_ms=51.004 vision_ms=0.137 combat_ms=0.005 ai_ms=0.000 completion_ms=0.001 profile_total_ms=51.160
