PID     Executable Path                                                                                                                                                                  
21096   /usr/libexec/linkd                                                                                                                                                               
21099   /usr/libexec/networkserviceproxy                                                                                                                                                 
21103   /System/Library/PrivateFrameworks/AgentSessionKitRuntime.framework/agentstored                                                                                                   
21111   /System/Library/Frameworks/CryptoTokenKit.framework/ctkd                                                                                                                         
21112   /System/Library/Frameworks/SystemConfiguration.framework/SCHelper                                                                                                                
21114   /usr/libexec/manageddeviced                                                                                                                                                      
21119   /usr/libexec/nearbyd                                                                                                                                                             
21123   /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd                                                                                                     
21124   /usr/libexec/nsurlsessiond                                                                                                                                                       
21125   /System/Library/PrivateFrameworks/IntelligenceFlowRuntime.framework/intelligenceflowd                                                                                            
21126   /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/generativeexperiencesd                                                                                  
21127   /usr/libexec/modelmanagerd                                                                                                                                                       
21129   /System/Library/PrivateFrameworks/IntelligenceFlowContextRuntime.framework/intelligencecontextd                                                                                  
21130   /System/Library/DriverExtensions/AppleCentauriControl.dext/AppleCentauriControl                                                                                                  
21131   /System/Library/DriverExtensions/AppleCentauriAlpha.dext/AppleCentauriAlpha                                                                                                      
21132   /System/Library/DriverExtensions/AppleCentauriBeta.dext/AppleCentauriBeta                                                                                                        
21135   /usr/libexec/aned                                                                                                                                                                
21142   /usr/libexec/pkd                                                                                                                                                                 
21145   /usr/libexec/milod                                                                                                                                                               
21148   /System/Library/PrivateFrameworks/AuthKit.framework/akd                                                                                                                          
21167   /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd                                                                                                               
21168   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/AudioConverterService                                                                    
21171   /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd                                                                                                   
21173   /usr/libexec/transparencyd                                                                                                                                                       
21174   /usr/libexec/rtcreportingd                                                                                                                                                       
21176   /usr/libexec/corecaptured                                                                                                                                                        
21179   /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers                                                                                
21180   /System/Library/PrivateFrameworks/ContextKit.framework/XPCServices/ContextService.xpc/ContextService                                                                             
21187   /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd                                                                                     
21188   /usr/libexec/cryptexd                                                                                                                                                            
21189   /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed                                                                                                          
21202   /usr/libexec/searchpartyd                                                                                                                                                        
21206   /usr/libexec/adid                                                                                                                                                                
21208   /usr/sbin/BTLEServer                                                                                                                                                             
21211   /System/Library/Frameworks/FileProvider.framework/Support/fileproviderd                                                                                                          
21216   /System/Library/PrivateFrameworks/CoreSuggestions.framework/suggestd                                                                                                             
21224   /usr/libexec/installd                                                                                                                                                            
21226   /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd                                                                                                    
21227   /System/Library/PrivateFrameworks/NeighborhoodActivityConduit.framework/XPCServices/com.apple.NeighborhoodActivityConduitService.xpc/com.apple.NeighborhoodActivityConduitService
21228   /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent                                                                                                             
21230   /usr/libexec/wifip2pd                                                                                                                                                            
21235   /System/Library/ExtensionKit/Extensions/MercuryPosterExtension.appex/MercuryPosterExtension                                                                                      
21237   /System/Library/PrivateFrameworks/HearingCore.framework/heard                                                                                                                    
21239   /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent                                                                                                    
21241   /usr/libexec/gamed                                                                                                                                                               
21252   /usr/libexec/intelligentroutingd                                                                                                                                                 
21253   /usr/libexec/textunderstandingd                                                                                                                                                  
21255   /Applications/FindMyExtensionContainer.app/PlugIns/FindMyDeviceBluetoothExtension.appex/FindMyDeviceBluetoothExtension                                                           
21263   /usr/libexec/videocodecd                                                                                                                                                         
21264   /usr/libexec/gamepolicyd                                                                                                                                                         
21268   /usr/libexec/watchpresenced                                                                                                                                                      
21269   /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd                                                                                                                   
21274   /usr/libexec/resourcegrabberd                                                                                                                                                    
21278   /Applications/FindMyExtensionContainer.app/PlugIns/FMDMagSafeExtension.appex/FMDMagSafeExtension                                                                                 
21311   /System/Library/PrivateFrameworks/iTunesStore.framework/Support/itunesstored                                                                                                     
21329   /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged                                                                                          
21354   /usr/libexec/mediaplaybackd                                                                                                                                                      
21368   /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd                                                                                                        
21382   /usr/libexec/promotedcontentd                                                                                                                                                    
21391   /usr/libexec/nanomediaremotelinkagent                                                                                                                                            
21392   /System/Library/PrivateFrameworks/BookLibraryCore.framework/Support/bookassetd                                                                                                   
21406   /System/Library/PrivateFrameworks/CloudPhotoLibrary.framework/Support/cloudphotod                                                                                                
21423   /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/com.apple.CloudDocs.iCloudDriveFileProvider                      
21425   /System/Library/PrivateFrameworks/FileIndexerDaemon.framework/Support/fileindexerd                                                                                               
21426   /System/Library/PrivateFrameworks/FileProviderDaemon.framework/XPCServices/FPCKService.xpc/FPCKService                                                                           
21429   /usr/libexec/diagnosticextensionsd                                                                                                                                               
21461   /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/XPCServices/IntelligencePlatformComputeService.xpc/IntelligencePlatformComputeService                    
21487   /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced                                                                                                 
21496   /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/TGOnDeviceInferenceProviderService                                                              
21516   /usr/libexec/anomalydetectiond                                                                                                                                                   
21528   /System/Library/PrivateFrameworks/SoftwareUpdateServices.framework/Support/softwareupdateservicesd                                                                               
21548   /System/Library/PrivateFrameworks/PrivateCloudCompute.framework/privatecloudcomputed.app/privatecloudcomputed                                                                    
21549   /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/XPCServices/com.apple.siri.embeddedspeech.xpc/com.apple.siri.embeddedspeech                            
21554   /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd                                                                                                       
